650545.79	9388146.36	650550.61	9388131.46
650546.15	9388141.62	650547.13	9388133.67
650543.89	9388144.21	650545.76	9388131.89
650560.44	9388117.70	650570.36	9388099.58
650569.77	9388096.32	650578.79	9388079.55
650547.78	9388147.78	650549.03	9388145.25
650549.30	9388145.77	650549.92	9388143.63
650550.10	9388144.21	650555.53	9388131.07
650571.79	9388154.19	650591.28	9388117.71
650584.81	9388127.51	650610.93	9388105.06
650569.47	9388140.81	650592.36	9388100.37
650519.52	9388079.01	650528.83	9388047.92
650514.09	9388058.03	650546.90	9388001.29
650548.33	9388002.00	650560.60	9387980.34
650555.58	9388003.78	650600.87	9387932.33
650578.23	9387954.27	650588.49	9387919.78
650606.37	9387932.96	650640.69	9387874.07
650624.20	9387908.64	650643.95	9387872.09
650637.90	9387887.31	650679.14	9387834.14
650620.26	9387805.19	650650.61	9387760.03
650621.35	9387800.18	650608.01	9387818.86
650614.20	9387802.68	650599.92	9387822.15
650609.70	9387813.37	650593.91	9387835.03
650599.07	9387859.25	650615.82	9387835.69
650609.08	9387846.71	650646.91	9387798.73
650606.06	9387867.16	650613.71	9387855.82
650606.81	9387863.84	650603.62	9387869.89
650604.05	9387867.13	650599.44	9387874.52
650599.04	9387888.68	650606.88	9387876.31
650618.04	9387897.28	650642.27	9387851.59
650621.35	9387754.22	650633.00	9387733.63
650631.89	9387737.09	650648.56	9387710.83
650646.09	9387717.68	650661.49	9387695.29
650540.53	9387970.06	650549.34	9387943.43
650550.51	9387923.01	650536.50	9387948.66
650650.94	9387894.23	650628.49	9387930.36
650632.85	9387921.20	650625.51	9387932.32
650628.17	9387929.25	650621.01	9387943.52
650622.01	9387939.66	650608.00	9387962.44
650627.23	9387928.12	650607.56	9387960.38
650622.66	9387981.69	650635.50	9387958.67
650641.98	9387982.11	650635.14	9387989.79
650642.78	9387986.12	650638.39	9387993.08
650639.24	9387990.69	650636.37	9387995.23
650630.72	9388005.41	650637.83	9387987.61
650633.41	9388006.42	650627.69	9388016.04
650646.21	9388032.90	650666.99	9387988.02
650668.21	9387993.86	650684.40	9387970.20
650688.42	9387977.03	650693.68	9387949.39
650671.76	9387946.44	650663.63	9387963.30
650646.14	9387983.64	650659.57	9387953.51
650657.08	9387971.62	650662.10	9387954.66
650677.33	9387950.60	650692.90	9387928.11
650654.67	9388016.22	650633.45	9388051.74
650658.28	9388070.34	650644.34	9388081.33
650611.41	9388112.27	650629.12	9388089.76
650610.28	9388103.38	650569.01	9388155.25
650568.23	9388158.41	650582.50	9388128.01
650572.33	9388131.35	650577.92	9388109.76
650621.19	9388096.27	650628.85	9388082.63
650624.43	9388084.69	650633.72	9388067.67
650633.05	9388075.36	650643.25	9388058.81
650636.74	9388072.14	650640.36	9388065.87
650626.78	9388074.95	650617.15	9388085.23
650639.60	9388079.76	650653.68	9388058.52
650665.01	9388054.71	650694.28	9388011.60
650654.19	9387936.96	650660.20	9387909.00
650633.49	9387788.99	650666.05	9387777.98
650665.72	9387728.02	650652.25	9387755.67
650653.11	9387749.83	650665.78	9387723.52
650651.48	9387727.89	650663.27	9387696.45
